"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Michael Fulmer",7300,"Det@Oak 10:05PM ET",16.290,"Det"
"SP","Jose Berrios",7300,"Min@Sea 10:10PM ET",5.988,"Min"
"SP","Aaron Sanchez",7200,"Bos@Tor 07:07PM ET",18.550,"Tor"
"SP","Tyler Duffey",7200,"Min@Sea 10:10PM ET",14.750,"Min"
"SP","Ervin Santana",7100,"Min@Sea 10:10PM ET",11.706,"Min"
"SP","Brandon Morrow",7100,"SD@Ari 09:40PM ET",0,"SD"
"SP","Mike Minor",7100,"CWS@KC 08:15PM ET",0,"KC"
"SP","Hector Santiago",7100,"Hou@LAA 10:05PM ET",12.195,"LAA"
"SP","Mike Fiers",7100,"Hou@LAA 10:05PM ET",12.517,"Hou"
"SP","Tyler Glasnow",7100,"Pit@Tex 08:05PM ET",0,"Pit"
"SP","Colby Lewis",7000,"Pit@Tex 08:05PM ET",15.700,"Tex"
"SP","Trevor Bauer",7000,"Bal@Cle 07:10PM ET",9.423,"Cle"
"SP","Jarrod Parker",6900,"Det@Oak 10:05PM ET",0,"Oak"
"SP","Carlos Martinez",6900,"StL@Was 07:05PM ET",12.845,"StL"
"SP","Francisco Liriano",6800,"Pit@Tex 08:05PM ET",14.035,"Pit"
"SP","Clay Buchholz",6800,"Bos@Tor 07:07PM ET",7.850,"Bos"
"SP","Bud Norris",6800,"Mia@Atl 07:35PM ET",3.896,"Atl"
"SP","Collin McHugh",6800,"Hou@LAA 10:05PM ET",12.010,"Hou"
"SP","Chase Anderson",6800,"Cin@Mil 08:10PM ET",10.828,"Mil"
"SP","Kevin Gausman",6800,"Bal@Cle 07:10PM ET",15.479,"Bal"
"SP","Mike Wright",6800,"Bal@Cle 07:10PM ET",9.894,"Bal"
"SP","Tim Cooney",6800,"StL@Was 07:05PM ET",0,"StL"
"SP","Archie Bradley",6700,"SD@Ari 09:40PM ET",4.325,"Ari"
"SP","Sean Manaea",6700,"Det@Oak 10:05PM ET",5.700,"Oak"
"SP","Jhoulys Chacin",6600,"Hou@LAA 10:05PM ET",11.450,"LAA"
"SP","Tommy Milone",6600,"Min@Sea 10:10PM ET",8.140,"Min"
"SP","Tom Koehler",6600,"Mia@Atl 07:35PM ET",9.772,"Mia"
"SP","Taylor Jungmann",6600,"Cin@Mil 08:10PM ET",0.940,"Mil"
"SP","A.J. Griffin",6600,"Pit@Tex 08:05PM ET",16.492,"Tex"
"SP","Yordano Ventura",6600,"CWS@KC 08:15PM ET",10.522,"KC"
"SP","Jesse Hahn",6600,"Det@Oak 10:05PM ET",8.588,"Oak"
"SP","Jered Weaver",6500,"Hou@LAA 10:05PM ET",9.683,"LAA"
"SP","Jonathon Niese",6500,"Pit@Tex 08:05PM ET",10.985,"Pit"
"SP","Ivan Nova",6500,"NYY@TB 07:10PM ET",8.425,"NYY"
"SP","Sonny Gray",6500,"Det@Oak 10:05PM ET",9.778,"Oak"
"SP","Mike Bolsinger",6500,"LAD@NYM 07:10PM ET",12.350,"LAD"
"SP","Kendry Flores",6500,"Mia@Atl 07:35PM ET",6.350,"Mia"
"SP","Chase Whitley",6500,"NYY@TB 07:10PM ET",0,"TB"
"SP","Brandon Finnegan",6500,"Cin@Mil 08:10PM ET",10.600,"Cin"
"SP","Lucas Giolito",6500,"StL@Was 07:05PM ET",0,"Was"
"SP","Bartolo Colon",6400,"LAD@NYM 07:10PM ET",14.095,"NYM"
"SP","Kyle Gibson",6400,"Min@Sea 10:10PM ET",4.425,"Min"
"SP","Joe Kelly",6400,"Bos@Tor 07:07PM ET",10.775,"Bos"
"SP","Jarred Cosart",6400,"Mia@Atl 07:35PM ET",1.467,"Mia"
"SP","Aaron Blair",6400,"Mia@Atl 07:35PM ET",0.800,"Atl"
"SP","Joe Ross",6400,"StL@Was 07:05PM ET",13.505,"Was"
