"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16721-8551","D","Erik","Karlsson","21.3","5","7200","OTT@VAN","OTT","VAN","","","",""
"16721-43131","G","Malcolm","Subban","0","0","7200","MIN@BOS","BOS","MIN","","","",""
"16721-54514","W","Johnny","Gaudreau","10","6","7100","CGY@STL","CGY","STL","","","",""
"16721-8763","W","Brad","Marchand","21.7","5","7100","MIN@BOS","BOS","MIN","","","",""
"16721-9212","G","Justin","Peters","14.399999618530273","1","7100","ARI@NJ","ARI","NJ","","","",""
"16721-8142","W","Corey","Perry","15.15000025431315","6","7100","ANH@SJ","ANH","SJ","","","",""
"16721-9252","G","Alex","Stalock","8.123076805701622","13","7100","MIN@BOS","MIN","BOS","","","",""
"16721-14468","G","Anders","Nilsson","13.048275651602909","29","7100","BUF@PHI","BUF","PHI","","","",""
"16721-8765","W","Patric","Hornqvist","15.183333079020182","6","7000","FLA@PIT","PIT","FLA","","","",""
"16721-8233","G","Curtis","McElhinney","7.600000169542101","18","7000","CLS@LA","CLS","LA","","","",""
"16721-8253","G","Michael","Leighton","8.800000190734863","1","7000","CAR@DET","CAR","DET","","","",""
"16721-8404","W","Wayne","Simmonds","17.26000061035156","5","7000","BUF@PHI","PHI","BUF","","","",""
"16721-11370","G","Eddie","Lack","7.200000127156575","3","7000","CAR@DET","CAR","DET","","","",""
"16721-8556","C","Claude","Giroux","13.519999694824218","5","7000","BUF@PHI","PHI","BUF","","","",""
"16721-8230","D","Mark","Giordano","14.59999974568685","6","6900","CGY@STL","CGY","STL","","","",""
"16721-8608","D","Kris","Letang","13.050000190734863","4","6900","FLA@PIT","PIT","FLA","DTD","Upper body","",""
"16721-8303","W","Jakub","Voracek","18.539999389648436","5","6800","BUF@PHI","PHI","BUF","","","",""
"16721-9269","C","Logan","Couture","12.966667175292969","6","6700","ANH@SJ","SJ","ANH","","","",""
"16721-41393","C","Aleksander","Barkov","14.5","5","6700","FLA@PIT","FLA","PIT","","","",""
"16721-41389","C","Sean","Monahan","8.266666412353516","6","6700","CGY@STL","CGY","STL","","","",""
"16721-8478","W","Zach","Parise","16.616666158040363","6","6700","MIN@BOS","MIN","BOS","","","",""
"16721-8682","W","Phil","Kessel","10.116666793823242","6","6700","FLA@PIT","PIT","FLA","","","",""
"16721-8264","D","Dustin","Byfuglien","11.84000015258789","5","6600","WPG@DAL","WPG","DAL","","","",""
"16721-43214","W","Nikita","Kucherov","9.38000030517578","5","6600","TB@TOR","TB","TOR","","","",""
"16721-8641","W","Alexander","Steen","15.366666158040365","6","6600","CGY@STL","STL","CGY","","","",""
"16721-8669","D","Victor","Hedman","11.4","5","6500","TB@TOR","TB","TOR","","","",""
"16721-12439","W","Jeff","Skinner","18.539999389648436","5","6500","CAR@DET","CAR","DET","DTD","Undisclosed","",""
"16721-8797","W","James","van Riemsdyk","11.2","5","6400","TB@TOR","TOR","TB","","","",""
"16721-9092","W","Evander","Kane","4.800000190734863","1","6400","BUF@PHI","BUF","PHI","O","Ribs","",""
"16721-8175","C","Patrice","Bergeron","8.399999618530273","2","6400","MIN@BOS","BOS","MIN","","","",""
"16721-8534","C","Jason","Spezza","10.55999984741211","5","6400","WPG@DAL","DAL","WPG","DTD","Undisclosed","",""
"16721-64100","C","Jack","Eichel","12.040740590036652","81","6300","BUF@PHI","BUF","PHI","IR","Ankle","",""
"16721-15280","W","Brandon","Saad","8","4","6300","CLS@LA","CLS","LA","","","",""
"16721-12244","D","Oliver","Ekman-Larsson","11.61999969482422","5","6300","ARI@NJ","ARI","NJ","","","",""
"16721-70899","C","Auston","Matthews","25.1","5","6300","TB@TOR","TOR","TB","","","",""
"16721-15283","C","Vincent","Trocheck","13.280000305175781","5","6200","FLA@PIT","FLA","PIT","","","",""
"16721-15217","W","Jonathan","Huberdeau","11.901315789473685","76","6200","FLA@PIT","FLA","PIT","IR","Lower body","",""
"16721-12410","W","Taylor","Hall","14.439999389648438","5","6200","ARI@NJ","NJ","ARI","","","",""
"16721-8555","C","Jeff","Carter","12.319999694824219","5","6200","CLS@LA","LA","CLS","","","",""
"16721-8502","W","Kyle","Okposo","14.466667175292969","3","6200","BUF@PHI","BUF","PHI","","","",""
"16721-8702","C","Ryan","Kesler","9.683333079020182","6","6200","ANH@SJ","ANH","SJ","","","",""
