"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16711-6803","QB","Josh","McCown","16.399999618530273","1","6400","NYJ@CLE","CLE","NYJ","Q","Collarbone","",""
"16711-29734","RB","Ty","Montgomery","5.166666666666667","6","6400","GB@ATL","GB","ATL","","","",""
"16711-29587","QB","Cody","Kessler","10.616000366210937","5","6300","NYJ@CLE","CLE","NYJ","Q","Concussion","",""
"16711-11485","WR","Golden","Tate","9","7","6300","DET@HOU","DET","HOU","","","",""
"16711-6840","RB","Frank","Gore","13.271428789411273","7","6300","KC@IND","IND","KC","","","",""
"16711-14211","RB","Mark","Ingram","12.966667175292969","6","6200","SEA@NO","NO","SEA","","","",""
"16711-34331","RB","Latavius","Murray","13.160000610351563","5","6200","OAK@TB","OAK","TB","","","",""
"16711-7744","QB","Drew","Stanton","3.265000104904175","4","6200","ARI@CAR","ARI","CAR","","","",""
"16711-27266","WR","Quincy","Enunwa","9.842857360839844","7","6100","NYJ@CLE","NYJ","CLE","","","",""
"16711-22288","WR","Cole","Beasley","12.366666158040365","6","6100","PHI@DAL","DAL","PHI","","","",""
"16711-6733","RB","Jonathan","Stewart","9.833333333333334","3","6100","ARI@CAR","CAR","ARI","","","",""
"16711-21959","QB","Brandon","Weeden","11.403333028157553","6","6000","DET@HOU","HOU","DET","NA","Coach's decision","",""
"16711-27776","RB","Tevin","Coleman","14.557143075125557","7","6000","GB@ATL","ATL","GB","Q","Hamstring","",""
"16711-7970","QB","Charlie","Whitehurst","10.380000114440918","1","6000","NYJ@CLE","CLE","NYJ","","","",""
"16711-30837","WR","Jordan","Matthews","9.983333587646484","6","6000","PHI@DAL","PHI","DAL","","","",""
"16711-6679","QB","Matt","Schaub","15.300000190734863","2","6000","GB@ATL","ATL","GB","","","",""
"16711-29715","QB","Kevin","Hogan","18.399999618530273","1","6000","NYJ@CLE","CLE","NYJ","","","",""
"16711-22027","QB","Nick","Foles","9.64363653009588","11","6000","KC@IND","KC","IND","","","",""
"16711-54684","RB","Isaiah","Crowell","12.885713849748884","7","5900","NYJ@CLE","CLE","NYJ","","","",""
"16711-30237","RB","Mike","Gillislee","5.128571646554129","7","5900","NE@BUF","BUF","NE","","","",""
"16711-54606","WR","John","Brown","7.016666412353516","6","5900","ARI@CAR","ARI","CAR","Q","Leg","",""
"16711-33465","RB","Theo","Riddick","14.61999969482422","5","5900","DET@HOU","DET","HOU","Q","Ankle","",""
"16711-22035","WR","Travis","Benjamin","9.985714503696986","7","5900","SD@DEN","SD","DEN","","","",""
"16711-32514","QB","Trevone","Boykin","5.400000095367432","1","5800","SEA@NO","SEA","NO","","","",""
"16711-6639","QB","Tony","Romo","11.914999961853027","4","5800","PHI@DAL","DAL","PHI","O","Back","",""
"16711-6479","WR","Anquan","Boldin","9.599999564034599","7","5800","DET@HOU","DET","HOU","","","",""
"16711-30231","QB","Jacoby","Brissett","9.433333079020182","3","5800","NE@BUF","NE","BUF","IR","Thumb","",""
"16711-25410","QB","Mike","Glennon","0","0","5800","OAK@TB","TB","OAK","","","",""
"16711-54604","QB","Jimmy","Garoppolo","11.846666971842447","3","5800","NE@BUF","NE","BUF","","","",""
"16711-62535","WR","Tyrell","Williams","11.442856924874443","7","5800","SD@DEN","SD","DEN","","","",""
"16711-28930","RB","James","White","9.299999782017299","7","5800","NE@BUF","NE","BUF","","","",""
"16711-40845","TE","Hunter","Henry","9.766666412353516","6","5800","SD@DEN","SD","DEN","Q","Concussion","",""
"16711-30968","RB","Eddie","Lacy","8.15999984741211","5","5800","GB@ATL","GB","ATL","IR","Ankle","",""
"16711-33463","QB","Paxton","Lynch","12.0600004196167","2","5800","SD@DEN","DEN","SD","","","",""
"16711-6728","RB","Jamaal","Charles","4.133333206176758","3","5800","KC@IND","KC","IND","","","",""
"16711-21971","TE","Coby","Fleener","9.466666539510092","6","5700","SEA@NO","NO","SEA","","","",""
"16711-33076","TE","Travis","Kelce","8.84999974568685","6","5700","KC@IND","KC","IND","","","",""
"16711-28573","WR","Michael","Thomas","13.283332824707031","6","5700","SEA@NO","NO","SEA","","","",""
"16711-6627","WR","Ted","Ginn Jr.","4.283333460489909","6","5600","ARI@CAR","CAR","ARI","","","",""
"16711-39580","RB","Devontae","Booker","4.100000063578288","6","5600","SD@DEN","DEN","SD","","","",""
"16711-22018","WR","Mohamed","Sanu","7.0428570338657925","7","5600","GB@ATL","ATL","GB","","","",""
"16711-22848","QB","Austin","Davis","7.393333435058594","3","5500","SD@DEN","DEN","SD","NA","Coach's decision","",""
"16711-32613","RB","DeAndre","Washington","4.9571429661342075","7","5500","OAK@TB","OAK","TB","","","",""
"16711-31732","WR","Corey","Coleman","16.399999618530273","2","5500","NYJ@CLE","CLE","NYJ","O","Hand","",""
"16711-11425","RB","Ryan","Mathews","9.333333333333334","6","5500","PHI@DAL","PHI","DAL","","","",""
"16711-39445","WR","Brice","Butler","4.366666793823242","6","5500","PHI@DAL","DAL","PHI","","","",""
"16711-28677","QB","Matt","McGloin","5.340000152587891","2","5500","OAK@TB","OAK","TB","","","",""
"16711-22004","TE","Dwayne","Allen","7.033333460489909","6","5400","KC@IND","IND","KC","Q","Ankle","",""
"16711-31561","WR","Donte","Moncrief","8.399999618530273","2","5400","KC@IND","IND","KC","O","Shoulder","",""
"16711-6448","TE","Martellus","Bennett","10.685714721679688","7","5400","NE@BUF","NE","BUF","","","",""
"16711-62616","RB","Zach","Zenner","6.425000190734863","4","5400","DET@HOU","DET","HOU","","","",""
"16711-32243","WR","Marquise","Goodwin","8.299999872843424","6","5400","NE@BUF","BUF","NE","Q","Concussion","",""
"16711-31836","WR","Terrance","Williams","9.019999694824218","5","5400","PHI@DAL","DAL","PHI","","","",""
"16711-29685","WR","Robert","Woods","7.183333079020183","6","5300","NE@BUF","BUF","NE","Q","Foot","",""
"16711-21952","WR","Michael","Floyd","7.600000108991351","7","5300","ARI@CAR","ARI","CAR","","","",""
"16711-25272","TE","Eric","Ebron","9","4","5300","DET@HOU","DET","HOU","Q","Knee","",""
"16711-31073","RB","Knile","Davis","0.7666666507720947","3","5300","GB@ATL","GB","ATL","","","",""
"16711-25813","WR","Phillip","Dorsett","6.349999745686849","6","5300","KC@IND","IND","KC","Q","Hamstring","",""
"16711-7965","TE","Antonio","Gates","6.079999923706055","5","5300","SD@DEN","SD","DEN","","","",""
"16711-14645","WR","Dontrelle","Inman","5.4571429661342075","7","5300","SD@DEN","SD","DEN","","","",""
"16711-6664","TE","Jacob","Tamme","6.728571210588727","7","5300","GB@ATL","ATL","GB","","","",""
"16711-6641","TE","Jason","Witten","6.900000254313151","6","5200","PHI@DAL","DAL","PHI","","","",""
"16711-14320","RB","Bilal","Powell","5.614285605294364","7","5200","NYJ@CLE","NYJ","CLE","","","",""
"16711-54782","TE","Cameron","Brate","7.433333079020183","6","5200","OAK@TB","TB","OAK","","","",""
"16711-14704","WR","Chris","Hogan","5.9571429661342075","7","5200","NE@BUF","NE","BUF","","","",""
"16711-30775","WR","Justin","Hunter","6.633333206176758","3","5200","NE@BUF","BUF","NE","","","",""
"16711-27050","WR","Tyler","Lockett","3.866666793823242","6","5200","SEA@NO","SEA","NO","","","",""
"16711-6643","RB","Reggie","Bush","2.5999999046325684","4","5100","NE@BUF","BUF","NE","","","",""
"16711-25837","RB","Duke","Johnson Jr.","8.171428680419922","7","5100","NYJ@CLE","CLE","NYJ","","","",""
"16711-6668","K","Adam","Vinatieri","12.571428571428571","7","5100","KC@IND","IND","KC","","","",""
"16711-8803","QB","Chase","Daniel","-0.019999999552965164","2","5000","PHI@DAL","PHI","DAL","","","",""
"16711-70446","QB","Joe","Callahan","0","0","5000","NYJ@CLE","CLE","NYJ","","","",""
"16711-29683","WR","Nelson","Agholor","5.766666412353516","6","5000","PHI@DAL","PHI","DAL","","","",""
"16711-30652","WR","Tanner","McEvoy","3.5999999046325684","4","5000","SEA@NO","SEA","NO","","","",""
"16711-28163","QB","Connor","Cook","0","0","5000","OAK@TB","OAK","TB","","","",""
"16711-70464","QB","Josh","Woodrum","0","0","5000","KC@IND","IND","KC","","","",""
"16711-41732","QB","Christian","Hackenberg","0","0","5000","NYJ@CLE","NYJ","CLE","","","",""
"16711-45797","QB","Garrett","Grayson","0","1","5000","SEA@NO","NO","SEA","","","",""
"16711-6422","TE","Gary","Barnidge","7.585714067731585","7","5000","NYJ@CLE","CLE","NYJ","","","",""
"16711-54741","WR","Seth","Roberts","6.442856924874442","7","5000","OAK@TB","OAK","TB","","","",""
"16711-6373","QB","Derek","Anderson","7.506666819254558","3","5000","ARI@CAR","CAR","ARI","","","",""
"16711-32366","QB","Jameill","Showers","0","0","5000","PHI@DAL","DAL","PHI","","","",""
"16711-43504","RB","Don","Jackson","0.6000000238418579","1","5000","GB@ATL","GB","ATL","Q","Hand","",""
"16711-8071","QB","Dan","Orlovsky","5.519999980926514","2","5000","DET@HOU","DET","HOU","","","",""
"16711-14696","QB","Scott","Tolzien","-0.07000000029802322","2","5000","KC@IND","IND","KC","","","",""
"16711-33702","QB","Ryan","Griffin","0","0","5000","OAK@TB","TB","OAK","","","",""
"16711-24671","WR","Adam","Humphries","6.266666412353516","6","5000","OAK@TB","TB","OAK","","","",""
"16711-26877","QB","Jake","Heaps","0","0","5000","SEA@NO","SEA","NO","","","",""
"16711-8051","QB","Luke","McCown","6.199999809265137","2","5000","SEA@NO","NO","SEA","","","",""
"16711-70127","QB","Griffin","Neal","0","0","5000","SEA@NO","NO","SEA","","","",""
"16711-34729","RB","Dwayne","Washington","3.7750000953674316","4","5000","DET@HOU","DET","HOU","Q","Ankle","",""
"16711-7953","WR","Vincent","Jackson","4.959999847412109","5","5000","OAK@TB","TB","OAK","IR","Knee","",""
"16711-31798","QB","Bryce","Petty","0","0","5000","NYJ@CLE","NYJ","CLE","","","",""
"16711-30788","QB","Tyler","Bray","0","0","5000","KC@IND","KC","IND","","","",""
"16711-7919","QB","Kellen","Clemens","-0.10000000149011612","1","5000","SD@DEN","SD","DEN","","","",""
"16711-27982","QB","Jake","Rudock","0","0","5000","DET@HOU","DET","HOU","","","",""
"16711-6857","RB","Justin","Forsett","5.040000152587891","5","5000","DET@HOU","DET","HOU","","","",""
"16711-29915","QB","Brett","Hundley","0","0","5000","GB@ATL","GB","ATL","","","",""
"16711-12531","D","Denver","Broncos","10.5","6","5000","SD@DEN","DEN","SD","","","",""
"16711-11615","QB","Joe","Webb","0.800000011920929","1","5000","ARI@CAR","CAR","ARI","","","",""
"16711-25969","QB","Tom","Savage","0","0","5000","DET@HOU","HOU","DET","","","",""
"16711-28515","QB","Cardale","Jones","0","0","4900","NE@BUF","BUF","NE","","","",""
"16711-39373","WR","Jaelen","Strong","3.6200000762939455","5","4900","DET@HOU","HOU","DET","","","",""
"16711-33578","RB","Jalen","Richard","6.0428570338657925","7","4900","OAK@TB","OAK","TB","","","",""
"16711-38509","RB","Wendell","Smallwood","5.079999923706055","5","4900","PHI@DAL","PHI","DAL","","","",""
"16711-7972","RB","Darren","Sproles","8.283333460489908","6","4900","PHI@DAL","PHI","DAL","","","",""
"16711-27908","TE","C.J.","Fiedorowicz","6.683333079020183","6","4900","DET@HOU","HOU","DET","","","",""
"16711-7900","K","Stephen","Gostkowski","7.142857142857143","7","4900","NE@BUF","NE","BUF","","","",""
"16711-39859","TE","Jack","Doyle","9.528570992606026","7","4900","KC@IND","IND","KC","","","",""
"16711-6687","QB","Mark","Sanchez","12.28000005086263","3","4900","PHI@DAL","DAL","PHI","","","",""
"16711-24949","QB","EJ","Manuel","0.8500000238418579","2","4900","NE@BUF","BUF","NE","","","",""
"16711-14362","TE","Charles","Clay","5.5428570338657925","7","4900","NE@BUF","BUF","NE","","","",""
"16711-26247","K","Brandon","McManus","8.666666666666666","6","4800","SD@DEN","DEN","SD","","","",""
"16711-53681","WR","Tyreek","Hill","6.533333460489909","6","4800","KC@IND","KC","IND","","","",""
"16711-37245","RB","Fozzy","Whittaker","7.216666539510091","6","4800","ARI@CAR","CAR","ARI","","","",""
"16711-29314","TE","Richard","Rodgers","3.1499999364217124","6","4800","GB@ATL","GB","ATL","","","",""
"16711-12545","D","Philadelphia","Eagles","14.166666666666666","6","4800","PHI@DAL","PHI","DAL","","","",""
"16711-7831","K","Sebastian","Janikowski","9","7","4800","OAK@TB","OAK","TB","","","",""
"16711-10647","K","Matt","Bryant","10.428571428571429","7","4800","GB@ATL","ATL","GB","","","",""
"16711-27134","WR","Dorial","Green-Beckham","4.399999936421712","6","4800","PHI@DAL","PHI","DAL","","","",""
"16711-28080","WR","Devin","Funchess","5.740000152587891","5","4800","ARI@CAR","CAR","ARI","","","",""
